text,word,shap_value,predicted_label,true_label,is_correct
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,$,0.03941773413680494,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,BYND - ,0.08548629586584866,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,JPMorgan ,0.08725198020692915,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,reels ,0.6113102665403858,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,in ,-0.142844557762146,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,expectations ,0.10560669959522784,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,on ,0.034113261848688126,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,Beyond ,-0.04570068349130452,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,Meat ,-0.05160464835353196,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,https://,-0.0765539335552603,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,t.,0.0073604549979791045,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,co/,-0.010950818075798452,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,bd0xbFGjkT,0.02807622728869319,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,$,-0.0013342092279344797,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,CCL $,-0.00016423920169472694,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,RCL - ,-0.001222906052134931,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Nomura ,0.0017852132441475987,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,points ,0.015503049216931686,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,to ,-0.0018507079512346536,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,bookings ,0.11024345029727556,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,weakness ,0.8077754995611031,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,at ,-0.0005932076019234955,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Carnival ,0.0047853366122581065,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,and ,-0.0018407234456390142,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Royal ,-0.0019805976189672947,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Caribbean ,-0.003767968388274312,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,https://,-0.00025505409575998783,negative,negative,True
